,Length,Width,Views last 7 days,Price_in_Euro,clusters,cluster
0,-1.2868419287295938,-1.3636565331164396,0.48713069209268567,-0.3180813482902835,3,Dark purple
1,-1.2868419287295938,-1.6937294878824674,-0.48644484507701924,-0.31795308798051264,3,Dark purple
2,-1.4535949691645615,-2.1063206813400024,-0.5573675663277925,-0.3180845547980278,3,Dark purple
3,-1.3618807969253295,-1.72673678335907,-0.5960526870100323,-0.31805035204875554,3,Dark purple
4,-0.9199852397726649,-0.9675689873972061,2.086115680291936,-0.3177970379369581,1,Pink
5,-1.346873023286182,-1.8010031981814263,-0.6798704484882189,-0.3181208952191295,3,Dark purple
6,-1.2284783645773552,-1.5039375388920013,0.19054476686217953,-0.31815616680431646,3,Dark purple
7,-1.2284783645773552,-1.4874338911537,0.5709484535708722,-0.3179049903643486,3,Dark purple
8,-1.1701148004251165,-1.2811382944249325,-0.5251299657592592,-0.3179423996213651,3,Dark purple
9,-1.2201407125556067,-1.569952129845207,-0.24143908075616635,-0.3167175136630536,3,Dark purple
10,-1.3335327800513848,-1.834010493658029,1.6928169533558304,-0.3168254660904441,3,Dark purple
11,-1.2868419287295938,-2.1063206813400024,-0.17051635950539315,-0.3175148652554623,3,Dark purple
12,-0.619829766989723,-0.587985089416274,0.7385839765272452,-0.3174079816639866,3,Dark purple
13,-0.8916372228987204,-1.0253317544812608,1.1576727839181777,-0.3174079816639866,3,Dark purple
14,-1.3618807969253295,-1.72673678335907,-0.5251299657592592,-0.31740905049990137,3,Dark purple
15,-1.235148486194754,-1.5782039537143577,-0.3897320433714194,-0.3174828001780196,3,Dark purple
16,-1.0200370640336456,-1.1986200557334254,-0.3381518824617662,-0.3175148652554623,3,Dark purple
17,-0.8649567364291255,-0.8933025725748496,1.4993913499446305,-0.3175148652554623,3,Dark purple
18,-1.0033617599901488,-1.6524703685367137,0.06159436458804642,-0.3171493233726154,3,Dark purple
19,-1.3618807969253295,-1.72673678335907,-0.13183123882315323,-0.31733316314995363,3,Dark purple
20,-1.0200370640336456,-1.6277148969292616,3.1628515392809478,-0.3173652282273963,1,Pink
21,-1.2851743983252442,-1.6937294878824674,2.3311214446127893,-0.31739301796118,1,Pink
22,-1.146769374764221,-1.6277148969292616,0.33239020936372593,-0.31741973885904895,3,Dark purple
23,-1.1117512362728779,-1.3636565331164396,1.7572921544928968,-0.3174731806547868,1,Pink
24,-1.218473182151257,-1.5204411866303027,0.6741087753901787,-0.3175811330821772,3,Dark purple
25,-0.9199852397726649,-0.909806220313151,10.661317431521788,-0.3175811330821772,1,Pink
26,-1.053387672120639,-1.5534484821069054,4.503935722931932,-0.3175811330821772,1,Pink
27,-1.2201407125556067,-1.6937294878824674,-0.11248867848203326,-0.3179423996213651,3,Dark purple
28,-1.2868419287295938,-1.5947076014526589,-0.3381518824617662,-0.3179423996213651,3,Dark purple
29,-1.2268108341730053,-1.4956857150228506,1.5638665510816971,-0.3179423996213651,3,Dark purple
30,-1.30685229358179,-1.7019813117516183,-0.621842767464859,-0.3154947653765717,3,Dark purple
31,-1.0867382802076326,-1.1161018170419184,0.22922988754441945,-0.3158047277918512,3,Dark purple
32,-1.2201407125556067,-1.4626784195462479,-0.2092014801876331,-0.3158047277918512,3,Dark purple
33,-1.0367123680771422,-1.2316273512100282,-0.49289236519072593,-0.3158047277918512,3,Dark purple
34,-0.9783488039249036,-1.0913463454344665,2.5309945681376953,-0.31531413210697773,1,Pink
35,-1.2368160165991036,-1.4874338911537,-0.6025002071237391,-0.31585816958758905,3,Dark purple
36,-1.2851743983252442,-1.5782039537143577,-0.5380250059866725,-0.3159126802192416,3,Dark purple
37,-1.2618289726643486,-1.5534484821069054,1.5380764706268704,-0.31553003696175863,3,Dark purple
38,-1.20346540851211,-1.3636565331164396,0.17764972663476622,-0.3160719367705404,3,Dark purple
39,-1.2534913206426002,-1.4049156524621929,-0.06090851757238002,-0.31612537856627826,3,Dark purple
40,-1.2785042767078454,-1.6277148969292616,0.8224017380054317,-0.31574594181653953,3,Dark purple
41,-1.2868419287295938,-1.569952129845207,-0.33170436234805956,-0.31574594181653953,3,Dark purple
42,-1.2951795807513422,-1.6524703685367137,6.773462802956674,-0.31391075055090184,1,Pink
43,-1.120088888294626,-1.2811382944249325,0.34528524959113926,-0.3148053662115534,3,Dark purple
44,-1.0367123680771422,-1.3636565331164396,0.8159542178917251,-0.3146396966447661,3,Dark purple
45,-0.9066449965378675,-1.0583390499578638,-0.4219696439399527,-0.3147358918770942,3,Dark purple
46,-1.0033617599901488,-1.1161018170419184,-0.18341139973280646,-0.3147358918770942,3,Dark purple
47,-1.120088888294626,-1.157360936387672,0.2098873272032995,-0.3147358918770942,3,Dark purple
48,-0.619829766989723,-1.1986200557334254,0.893324459256205,-0.3147358918770942,3,Dark purple
49,-1.20346540851211,-1.1986200557334254,1.118987663235938,-0.3147358918770942,3,Dark purple
50,-0.84161131076823,-1.2481309989483296,0.21633484731700614,-0.3147358918770942,3,Dark purple
51,-1.161777148403368,-1.3966638285930422,-0.15762131927797984,-0.3147465802362418,3,Dark purple
52,-1.420244361077568,-1.6937294878824674,0.5645009334571656,-0.31412665540568274,3,Dark purple
53,-0.7432270169115991,-0.5384741462013698,4.613543564864945,-0.31412665540568274,1,Pink
54,-1.2618289726643486,-1.569952129845207,2.730867691662602,-0.31412665540568274,1,Pink
55,-1.0867382802076326,-1.2316273512100282,-0.20275396007392643,-0.3133464051879102,3,Dark purple
56,-1.2401510774078028,-1.569952129845207,0.3517327697048459,-0.3127232738496069,3,Dark purple
57,-0.5814765676896804,-0.7447697429301373,0.022909243905806495,-0.3133036517513199,3,Dark purple
58,-1.20346540851211,-1.1986200557334254,0.31949516913631265,-0.3135174189342713,3,Dark purple
59,-1.2118030605338583,-1.4049156524621929,2.0087454389274564,-0.31288039272907614,1,Pink
60,-1.20346540851211,-1.5286930104994534,0.3259426892500193,-0.3136670559623373,3,Dark purple
61,-0.5364532467722392,-1.1161018170419184,0.7321364564135385,-0.3136670559623373,3,Dark purple
62,-0.9866864559466519,-1.1161018170419184,1.1963579046004178,-0.3136670559623373,3,Dark purple
63,-1.0033617599901488,-1.1161018170419184,-0.08669859802720664,-0.3136670559623373,3,Dark purple
64,-1.0367123680771422,-0.909806220313151,0.3710753300459659,-0.3136670559623373,3,Dark purple
65,-0.8866346316856712,-0.8355398054907949,0.24857244788553942,-0.3136670559623373,3,Dark purple
66,-1.0817356889945835,-1.157360936387672,-0.12538371870944656,-0.3136670559623373,3,Dark purple
67,-0.9866864559466519,-1.050087226088713,2.1892760021112427,-0.3136670559623373,1,Pink
68,-1.2201407125556067,-0.4559559075098628,-0.0351184371175534,-0.3136670559623373,3,Dark purple
69,-1.2201407125556067,-1.569952129845207,-0.3510469226891795,-0.3122882576323008,3,Dark purple
70,-0.9783488039249036,-1.0335835783504117,0.835296778232845,-0.3115357971483119,3,Dark purple
71,-1.120088888294626,-1.1986200557334254,-0.028670917003846746,-0.3124913364561046,3,Dark purple
72,-1.0700629761641358,-1.1161018170419184,0.10027948527028635,-0.3124913364561046,3,Dark purple
73,-1.1534394963816197,-1.3636565331164396,4.658676205660892,-0.3116822276686336,1,Pink
74,-1.090073341016332,-1.1326054647802197,0.6934513357312986,-0.3117517020030928,3,Dark purple
75,-1.0317097768640933,-1.1326054647802197,0.45489309152415236,-0.3125982200475803,3,Dark purple
76,-1.2868419287295938,-1.5947076014526589,-0.2607816410972863,-0.3125982200475803,3,Dark purple
77,-1.120088888294626,-1.297641942163234,-0.3510469226891795,-0.3125982200475803,3,Dark purple
78,-1.0700629761641358,-1.1161018170419184,0.0938319651565797,-0.3125982200475803,3,Dark purple
79,-0.99669163837275,-1.0253317544812608,-0.46710228473589926,-0.3125982200475803,3,Dark purple
80,-0.9866864559466519,-0.8685471009673976,-0.2220965204150464,-0.3125982200475803,3,Dark purple
81,-1.4369196651210647,-1.7762477265739745,0.6418711748216454,-0.3125982200475803,3,Dark purple
82,-1.0700629761641358,-1.0088281067429594,0.14541212606623294,-0.3125982200475803,3,Dark purple
83,-0.6365050710332197,-0.8685471009673976,3.7882609903104933,-0.3125982200475803,1,Pink
84,-1.3902288137992738,-1.8092550220505772,2.2730937635894293,-0.31034832044701693,1,Pink
85,-0.5364532467722392,-0.4559559075098628,0.2098873272032995,-0.3112621751541341,3,Dark purple
86,-1.20346540851211,-1.322397413770686,2.0280879992685765,-0.31034832044701693,1,Pink
87,-1.0367123680771422,-1.1161018170419184,-0.22854404052875305,-0.31136905874560983,3,Dark purple
88,-0.9533358478596584,-1.0335835783504117,1.7250545539243636,-0.31045627287440736,1,Pink
89,-1.011699412011897,-1.1161018170419184,0.2227823674307128,-0.3114235693772624,3,Dark purple
90,-1.1400992531468224,-1.2563828228174805,-0.5573675663277925,-0.3114492214392166,3,Dark purple
91,-1.1534394963816197,-1.2811382944249325,-0.3832845232577128,-0.31147273582934126,3,Dark purple
92,-0.5531285508157359,-0.5797332655471232,-0.08025107791349999,-0.3115293841328234,3,Dark purple
93,-1.0033617599901488,-1.1986200557334254,0.21633484731700614,-0.3115293841328234,3,Dark purple
94,-0.8199334155116843,-0.8685471009673976,0.07448940481545974,-0.3115293841328234,3,Dark purple
95,-0.4530767265547553,-0.4559559075098628,0.9835897408480981,-0.3115293841328234,3,Dark purple
96,-1.2885094591339434,-1.4956857150228506,-0.3510469226891795,-0.3115293841328234,3,Dark purple
97,-0.9233203005813643,-0.9345616919206032,0.6805562955038853,-0.30980855831006465,3,Dark purple
98,-0.7865828074246907,-1.3636565331164396,0.5129207725475122,-0.30980855831006465,3,Dark purple
99,-0.9533358478596584,-1.6112112491909603,0.20343980708959283,-0.30980855831006465,3,Dark purple
100,-1.1217564186989757,-1.1986200557334254,-0.22854404052875305,-0.3108720500452478,3,Dark purple
101,-1.20346540851211,-1.569952129845207,0.05514684447433977,-0.30991651073745513,3,Dark purple
102,-1.0350448376727925,-1.1078499931727679,5.845019906582916,-0.30991651073745513,1,Pink
103,-0.5364532467722392,-0.7860288622758906,2.801790412913375,-0.31099496617544486,1,Pink
104,-0.7448945473159487,-0.9758208112663567,0.2227823674307128,-0.31099496617544486,3,Dark purple
105,-0.9700111519031551,-0.9675689873972061,0.02935676401951315,-0.31099496617544486,3,Dark purple
106,-0.6531803750767166,-0.909806220313151,0.22922988754441945,-0.31099496617544486,3,Dark purple
107,0.047182394750147856,-0.4559559075098628,0.20343980708959283,-0.31099496617544486,3,Dark purple
108,0.13055891496763172,-0.8685471009673976,4.832759248730971,-0.31099496617544486,1,Pink
109,-0.7615698513594454,-0.9840726351355075,4.078399395427293,-0.31099496617544486,1,Pink
110,-0.7832477466159914,-0.8520434532290962,0.15830716629364625,-0.31099496617544486,3,Dark purple
111,-0.7832477466159914,-0.8520434532290962,0.3646278099322592,-0.31099496617544486,3,Dark purple
112,-0.9033099357291682,-1.000576282873809,0.8610868586876717,-0.30992613026068794,3,Dark purple
113,-1.1367641923381229,-1.1986200557334254,-0.1640688393916865,-0.30992613026068794,3,Dark purple
114,-0.8699593276421745,-0.9510653396589047,0.5064732524338056,-0.30992613026068794,3,Dark purple
115,-0.7815802162116416,-0.8355398054907949,0.48713069209268567,-0.30992613026068794,3,Dark purple
116,-0.9883539863510016,-1.1161018170419184,-0.4090746037125394,-0.30992613026068794,3,Dark purple
117,-1.0867382802076326,-1.157360936387672,-0.35749444280288617,-0.30992613026068794,3,Dark purple
118,-0.9316579526031126,-0.9593171635280552,0.15830716629364625,-0.30992613026068794,3,Dark purple
119,-0.6531803750767166,-0.7942806861450415,0.14541212606623294,-0.30992613026068794,3,Dark purple
120,-0.9533358478596584,-0.9510653396589047,1.7508446343791901,-0.30992613026068794,1,Pink
121,-0.7198815912507036,-0.8685471009673976,0.5967385340256988,-0.30992613026068794,3,Dark purple
122,-0.6831959223550107,-0.48071137911731476,0.667661255276472,-0.30992613026068794,3,Dark purple
123,-1.1084161754641784,-1.182116407995124,-0.0028808365490201257,-0.3099271990966027,3,Dark purple
124,-1.1034135842511295,-1.1986200557334254,0.6741087753901787,-0.3099271990966027,3,Dark purple
125,-1.0867382802076326,-1.099598169303617,0.18409724674847286,-0.3099271990966027,3,Dark purple
126,-1.1701148004251165,-1.0335835783504117,0.11962204561140632,-0.3099368186198355,3,Dark purple
127,-0.836608719555181,-1.0335835783504117,-0.0931461181409133,-0.3099368186198355,3,Dark purple
